Week,MRSA,VRSA,Wild,others,Total
2024-01-01,12,1,82,13,108
2024-01-08,9,1,103,16,129
2024-01-15,12,0,125,14,151
2024-01-22,20,0,90,14,124
2024-01-29,8,0,92,13,113
2024-02-05,24,0,93,7,124
2024-02-12,14,0,103,8,125
2024-02-19,10,0,109,7,126
2024-02-26,15,1,112,9,137
2024-03-04,7,0,95,15,117
2024-03-11,21,0,118,9,148
2024-03-18,17,1,121,14,153
2024-03-25,7,0,77,9,93
2024-04-01,11,0,81,11,103
2024-04-08,18,0,89,5,112
2024-04-15,8,2,110,8,128
2024-04-22,18,0,103,7,128
2024-04-29,12,0,80,11,103
2024-05-06,6,1,87,13,107
2024-05-13,16,1,76,18,111
2024-05-20,21,0,83,5,109
2024-05-27,20,0,86,10,116
2024-06-03,13,0,92,8,113
2024-06-10,14,0,72,12,98
2024-06-17,9,0,76,13,98
2024-06-24,11,0,92,20,123
2024-07-01,17,0,91,19,127
2024-07-08,9,0,121,11,141
2024-07-15,10,0,107,23,140
2024-07-22,13,0,83,20,116
2024-07-29,14,0,101,8,123
2024-08-05,23,0,96,16,135
2024-08-12,22,0,100,16,138
2024-08-19,14,0,80,15,109
2024-08-26,7,0,100,13,120
2024-09-02,18,1,67,10,96
2024-09-09,11,1,106,17,135
2024-09-16,21,0,90,8,119
2024-09-23,24,0,104,19,147
2024-09-30,16,0,96,13,125
2024-10-07,17,0,95,12,124
2024-10-14,10,0,95,13,118
2024-10-21,13,0,86,19,118
2024-10-28,20,0,78,11,109
2024-11-04,23,0,87,8,118
2024-11-11,9,0,85,7,101
2024-11-18,17,0,65,11,93
2024-11-25,19,0,90,9,118
2024-12-02,14,0,82,5,101
2024-12-09,12,0,90,6,108
2024-12-16,29,0,94,11,134
2024-12-23,14,0,53,10,77
2024-12-30,8,1,20,6,35
